counts of human (0 MYA) that lift over to: chimp = 7; gorilla=10; orangutan=14; gibbon = 18; rhesus macaque = 25 ,Subfamily,MYA,LO
1,up1,25,0
2,up1,18,7
3,up1,14,14
4,up1,10,178
5,up1,6,189
6,up1,0,208
7,up2,25,0
8,up2,18,0
9,up2,14,3
10,up2,10,46
11,up2,6,47
12,up2,0,56
13,u1,25,0
14,u1,18,11
15,u1,14,38
16,u1,10,50
17,u1,6,52
18,u1,0,69
19,u2,25,0
20,u2,18,0
21,u2,14,4
22,u2,10,18
23,u2,6,17
24,u2,0,20
25,d1,25,4
26,d1,18,96
27,d1,14,182
28,d1,10,217
29,d1,6,234
30,d1,0,251
31,d2,25,1
32,d2,18,75
33,d2,14,160
34,d2,10,195
35,d2,6,205
36,d2,0,229
37,bc,25,30
38,bc,18,30
39,bc,14,43
40,bc,10,50
41,bc,6,51
42,bc,0,53
43,o,25,107
44,o,18,107
45,o,14,160
46,o,10,175
47,o,6,177
48,o,0,196
49,y,25,10
50,y,18,13
51,y,14,24
52,y,10,110
53,y,6,120
54,y,0,150
55,b,25,141
56,b,18,219
57,b,14,342
58,b,10,467
59,b,6,489
60,b,0,639
61,c,25,153
62,c,18,158
63,c,14,203
64,c,10,225
65,c,6,221
66,c,0,245
