,ZNF90,ZNF534,H3K9me3,KAP1,SMAD1,OCT4,TCF4,SOX2,FOXP1,FOXA1,KLF4,NANOG,MED1,H3K27ac,H3K4me1,H3K4me3,Chimeric Transcript,GRO-seq,RNA-seq
chr8_114281698_114287733_3369_transcribed_ZNF534_k4me3_TSS_KLF4_NANOG_44108_SMAD11_FOXA1_7up_wanghigh_GRO1of7_7up_phylo____chr8_114281698-114282146____1-448,,10,,,13,,,,,18,19,2,,4,,6,,8,9
chrX_142563684_142564133_EncodeTxn_SOLO_NANOG_7up_7up_phylo____chrX_142563684-142564133____1-448,,,,,,,,,,,,2,,,,,,,
chr3_98396749_98397196_EncodeRepressed_SOLO_FOXP1_KLF4_NANOG_44108_7up_7up_phylo____chr3_98396749-98397196____1-447,,,,,,,,,17,,19,2,,4,5,,,,
chrX_111543807_111549673_3461_ZNF534_EncodeTxn_KLF4_MED1_NANOG_44108_SMAD11_SOX2_7up_GRO1of7_7up_phylo____chrX_111543807-111544258____1-450,,10,,,13,,,16,,,19,2,3,4,,6,,8,
chr10_25768956_25774917_2169_ZNF534_KAP1_EncodeTxn_KLF4_NANOG_7up_GRO3of7_C_7up_phylo_-__chr10_25774436-25774917_-__1-450,,10,,12,,,,,,,19,2,,4,,6,,,
chr4_61764218_61770025_3585_ZNF534_KAP1_k4me3_TSS_FOXP1_KLF4_NANOG_44108_SMAD11_FOXA1_7up_wanghigh_C_7up_phylo_-__chr4_61769543-61770025_-__1-448,,10,,12,13,,,,17,18,19,2,,4,,6,,,9
chr6_6036099_6036548_EncodeRepressed_SOLO_KLF4_NANOG_7up_chimeric_C_7up_phylo_-__chr6_6036099-6036548_-__1-449,,,,,,,,,,,19,2,,,,,7,,
chr13_83833382_83833829_EncodeRepressed_SOLO_KLF4_NANOG_TCF4_7up_7up_phylo____chr13_83833382-83833829____1-447,,,,,,,15,,,,19,2,,4,5,6,,,
chr1_64349943_64355761_4830_ZNF534_k4me3_weakenh_KLF4_NANOG_SOX2_TCF4_7up_GRO4of7_C_7up_phylo_-__chr1_64355318-64355761_-__1-443,,10,,,,,15,16,,,19,2,,4,5,6,,,
chr4_91654602_91660568_3326_ZNF534_EncodeTxn_KLF4_NANOG_FOXA1_7up_GRO3of7_C_7up_phylo_-__chr4_91660118-91660568_-__1-450,,10,,,,,,,,18,19,2,,4,,6,,,
chr9_118485633_118491397_3435_ZNF534_EncodeTxn_KLF4_NANOG_TCF4_7up_wanghigh_GRO4of7_C_7up_phylo_-__chr9_118490948-118491397_-__1-449,,10,,,,,15,,,,19,2,,,,6,,,9
chr21_7095306_7095756_SOLO_7up_C_7up_phylo_-__chr21_7095306-7095756_-__1-450,,,,,,,,,,,,,,,,,,,
chr2_71086360-71090997_3591_ZNF534_EncodeTxn_KLF4_NANOG_FOXA1_7up_chimeric_GRO2of7__chr2_71090547-71090997_-__1-450,,10,,,,,,,,18,19,2,,,5,6,7,,
chr6_120462634_120468133_3347_ZNF534_k4me3_EncodeRepressed_KLF4_NANOG_7up_GRO5of7_GRO6of7_GRO7of7_C_7up_phylo_-__chr6_120467683-120468133_-__1-450,,10,,,,,,,,,19,2,,4,,6,,,
chr2_75213731_75219537_3297_ZNF534_ZNF90_KAP1_EncodeRepressed_FOXP1_KLF4_NANOG_7up_GRO5of7_GRO6of7_GRO7of7_C_7up_phylo_-__chr2_75219087-75219537_-__1-450,1,10,11,12,,,,,17,,19,2,,4,,6,,,
chr10_90081018_90086792_4759_ZNF534_k4me3_KLF4_NANOG_FOXA1_7up_wanghigh_C_7up_phylo_-__chr10_90086341-90086792_-__1-448,,10,,,,,,,,18,19,2,,4,5,6,,,9
chr8_68972944_68978769_3408_ZNF534_KAP1_EncodeRepressed_FOXP1_KLF4_NANOG_7up_7up_phylo____chr8_68972944-68973429____1-450,,10,,12,,,,,17,,19,2,,4,,6,,,
chr6_142015666_142021782_3343_ZNF534_ZNF90_KAP1_k4me3_TSSflanking_KLF4_NANOG_7up_wanghigh_GRO1of7_7up_phylo____chr6_142015666-142016117____1-450,1,10,,12,,,,,,,19,2,,4,5,6,,8,9
chr12_59323188_59328986_3533_ZNF534_k4me3_weakenh_FOXP1_KLF4_NANOG_44108_SOX2_TCF4_7up_wanghigh_C_7up_phylo_-__chr12_59328505-59328986_-__1-450,,10,,,,,15,16,17,,19,2,,4,5,6,,,9
chr20_12753820_12759634_3666_transcribed_ZNF534_k4me3_enh_KLF4_NANOG_44108_SMAD11_TCF4_7up_wanghigh_GRO1of7_7up_phylo____chr20_12753820-12754274____1-450,,10,,,13,,15,,,,19,2,,4,,6,,8,9
chr20_13357880-13362689_1823_ZNF534_k4me3_weakenh_FOXP1_KLF4_NANOG_OCT4_7up_wanghigh_GRO2of7__chr20_13357880-13358330____1-450,,10,,,,14,,,17,,19,2,,4,,6,,,9
chr4_78713842_78719721_3415_ZNF534_ZNF90_KAP1_k27ac_EncodeRepressed_KLF4_NANOG_FOXA1_7up_GRO5of7_GRO6of7_GRO7of7_C_7up_phylo_-__chr4_78719272-78719721_-__1-449,1,10,11,12,,,,,,18,19,2,,4,,6,,,
chr3_148414244-148420096_3502_ZNF534_KAP1_EncodeTxn_KLF4_NANOG_OCT4_7up_GRO2of7__chr3_148414244-148414694____1-450,,10,11,12,,14,,,,,19,2,,4,,6,,,
chr6_142649498_142649948_h3k27ac_enh_SOLO_KLF4_NANOG_7up_7up_phylo____chr6_142649498-142649948____1-450,,,,,,,,,,,19,2,,4,,,,,
chr1_185948279_185954216_3622_ZNF534_KAP1_k4me3_EncodeRepressed_FOXP1_KLF4_NANOG_44108_SMAD11_7up_chimeric_C_7up_phylo_-__chr1_185953764-185954216_-__1-450,,10,,12,13,,,,17,,19,2,,4,5,6,7,,
chrY_4355393_4361230_3241_KAP1_NANOG_7up_GRO5of7_GRO6of7_GRO7of7_C_7up_phylo_-__chrY_4360783-4361230_-__1-447,,,,12,,,,,,,,2,,4,,6,,,
chrX_90773313_90779155_3356_ZNF534_KAP1_EncodeRepressed_FOXP1_KLF4_NANOG_7up_C_7up_phylo_-__chrX_90778707-90779155_-__1-448,,10,,12,,,,,17,,19,2,,4,,6,,,
chr8_7402290_7408174_3225_ZNF534_KAP1_weakenh_KLF4_NANOG_TCF4_7up_GRO5of7_GRO6of7_GRO7of7_7up_phylo____chr8_7402290-7402740____1-450,,10,11,12,,,15,,,,19,2,,4,5,6,,,
chr4_24500975_24506750_3448_ZNF534_k4me3_weakenh_FOXP1_KLF4_NANOG_44108_SOX2_TCF4_FOXA1_7up_GRO1of7_7up_phylo____chr4_24500975-24501425____1-450,,10,,,,,15,16,17,18,19,2,,4,5,6,,8,
chr6_21361492_21367257_5036_ZNF534_k4me3_EncodeRepressed_KLF4_NANOG_44108_FOXA1_7up_wangmod_GRO4of7_C_7up_phylo_-__chr6_21366817-21367257_-__1-440,,10,,,,,,,,18,19,2,,4,,6,,,
chr3_115793483_115799166_3515_ZNF534_k4me3_EncodeRepressed_FOXP1_KLF4_NANOG_7up_wanghigh_GRO3of7_C_7up_phylo_-__chr3_115798717-115799166_-__1-449,,10,,,,,,,17,,19,2,,4,,6,,,9
chr10_58860995_58867331_3664_ZNF534_KAP1_EncodeRepressed_KLF4_NANOG_FOXA1_7up_GRO4of7_C_7up_phylo_-__chr10_58866881-58867331_-__1-450,,10,11,12,,,,,,18,19,2,,4,,6,,,
chr10_52033757_52039561_4881_ZNF534_ZNF90_KAP1_k4me3_TSS_FOXP1_KLF4_MED1_NANOG_44108_SMAD11_TCF4_7up_wanghigh_chimeric_C_7up_phylo_-__chr10_52039113-52039561_-__1-448,1,10,11,12,13,,15,,17,,19,2,3,4,,6,7,,9
chr11_2339319_2339771_weakenh_SOLO_NANOG_7up_phylo____chr11_2339319-2339771____1-449,,,,,,,,,,,,2,,4,5,,,,
chr2_66243889_66249502_4689_transcribed_ZNF534_k4me3_EncodeTxn_KLF4_NANOG_44108_7up_GRO1of7_7up_phylo____chr2_66243889-66244336____1-447,,10,,,,,,,,,19,2,,4,,6,,8,
chr13_66226369_66232340_3265_ZNF534_ZNF90_KAP1_EncodeTxn_KLF4_NANOG_SOX2_FOXA1_7up_C_7up_phylo_-__chr13_66231890-66232340_-__1-450,1,10,,12,,,,16,,18,19,2,,4,,6,,,
chr3_185949808_185950258_h3k4me3_EncodeTxn_SOLO_KLF4_NANOG_7up_7up_phylo____chr3_185949808-185950258____1-450,,,,,,,,,,,19,2,,4,5,,,,
chr5_44236340_44236852_weakenh_SOLO_KLF4_NANOG_44108_7up_7up_phylo____chr5_44236340-44236852____1-450,,,,,,,,,,,19,2,,4,5,6,,,
chr12_73000876_73001358_h3k27ac_EncodeTxn_SOLO_KLF4_NANOG_44108_7up_7up_phylo____chr12_73000876-73001358____1-448,,,,,,,,,,,19,2,,4,,,,,
chr11_7912151_7917907_3408_ZNF534_ZNF90_KAP1_k4me3_EncodeTxn_KLF4_NANOG_7up_GRO1of7_C_7up_phylo_-__chr11_7917468-7917907_-__1-439,1,10,11,12,,,,,,,19,2,,4,,6,,8,
chr10_6629579_6635541_3454_ZNF534_KAP1_EncodeTxn_KLF4_NANOG_FOXA1_7up_C_7up_phylo_-__chr10_6635093-6635541_-__1-448,,10,,12,,,,,,18,19,2,,,,6,,,
chr7_83459668_83465383_4697_transcribed_ZNF534_k4me3_TSS_FOXP1_KLF4_MED1_NANOG_44108_SOX2_TCF4_FOXA1_7up_wanghigh_chimeric_GRO1of7_7up_phylo____chr7_83459668-83460118____1-450,,10,,,,,15,16,17,18,19,2,3,4,,6,7,8,9
chr4_145832612-145838502_3642_ZNF534_ZNF90_KAP1_EncodeRepressed_FOXP1_KLF4_NANOG_TCF4_7up_GRO2of7__chr4_145832612-145833009____1-397,1,10,11,12,,,15,,17,,19,2,,4,5,6,,,
chr1_215410117_215415683_3446_1_k4me3_EncodeRepressed_KLF4_NANOG_SOX2_TCF4_7up_GRO5of7_GRO6of7_GRO7of7_C_7up_phylo_-__chr1_215415235-215415683_-__1-448,,,,,,,15,16,,,19,2,,4,,6,,,
chr4_166716125_166722054_3445_ZNF534_KAP1_enh_FOXP1_KLF4_NANOG_44108_SOX2_TCF4_7up_GRO1of7_7up_phylo____chr4_166716125-166716575____1-450,,10,,12,,,15,16,17,,19,2,,4,,6,,8,
chr16_70616524_70622062_3336_ZNF534_k4me3_KLF4_NANOG_44108_SOX2_TCF4_FOXA1_7up_wanghigh_chimeric_C_7up_phylo_-__chr16_70621611-70622062_-__1-449,,10,,,,,15,16,,18,19,2,,4,,6,7,,9
chr10_54166676_54172501_3524_ZNF534_EncodeTxn_KLF4_NANOG_44108_SMAD11_7up_chimeric_7up_phylo____chr10_54166676-54167126____1-450,,10,,,13,,,,,,19,2,,4,,6,7,,
chr9_74085583_74091436_4739_transcribed_ZNF534_k4me3_TSS_FOXP1_KLF4_MED1_NANOG_44108_SMAD11_SOX2_TCF4_7up_wanghigh_GRO1of7_7up_phylo_____chr9_74085583-74086032____1-449,,10,,,13,,15,16,17,,19,2,3,4,,6,,8,9
chr14_47104197-47108765_3439_ZNF534_k4me3_TSSflanking_FOXP1_KLF4_NANOG_OCT4_7up_wanghigh_chimeric_GRO2of7__chr14_47104197-47104677____1-448,,10,,,,14,,,17,,19,2,,4,,6,7,,9
chr2_187670483_187676269_3302_ZNF534_KAP1_k4me3_weakenh_KLF4_NANOG_44108_SMAD11_TCF4_7up_C_7up_phylo_-__chr2_187675819-187676269_-__1-450,,10,,12,13,,15,,,,19,2,,4,,6,,,
chr3_78581212_78588919_4876_ZNF534_KAP1_EncodeTxn_KLF4_NANOG_7up_GRO4of7_C_7up_phylo_-__chr3_78588472-78588919_-__1-446,,10,,12,,,,,,,19,2,,,,6,,,
chr19_52789774_52790222_h3k27ac_EncodeTxn_SOLO_KLF4_NANOG_7up_C_7up_phylo_-__chr19_52789774-52790222_-__1-448,,,,,,,,,,,19,2,,4,,,,,
chr13_55654931_55660802_3446_ZNF534_KAP1_k4me3_TSS_FOXP1_KLF4_NANOG_44108_SMAD11_SOX2_TCF4_FOXA1_7up_wanghigh_GRO1of7_C_7up_phylo_-__chr13_55660357-55660802_-__1-445,,10,,12,13,,15,16,17,18,19,2,,4,,6,,8,9
chr1_212910008_212914681_3500_ZNF534_k4me3_TSS_FOXP1_KLF4_MED1_NANOG_44108_SMAD11_SOX2_TCF4_FOXA1_7up_wanghigh_GRO1of7_7up_phylo_____chr1_212910008-212910445____1-406,,10,,,13,,15,16,17,18,19,2,3,4,,6,,8,9
chrY_5941111_5946036_4905_KAP1_NANOG_SOX2_FOXA1_7up_wanghigh_GRO1of7_7up_phylo____chrY_5941111-5941560____1-449,,,,12,,,,16,,18,,2,,4,,6,,8,9
